scientific_name,Temp_lit,Temp_Source,Sal_lit,Sal_Source,Prof_lit,Prof_Source
Lutjanus_argentiventris,[15-30],https://obis.org/taxon/276524,[25-40],https://obis.org/taxon/276524,[0-70],https://obis.org/taxon/276524
Peprilus_medius,[-5-30],https://obis.org/taxon/276561,[25-40],https://obis.org/taxon/276561,[0-300],https://obis.org/taxon/276561
Peprilus_snyderi,[20-30],https://obis.org/taxon/276564,[25-35],https://obis.org/taxon/276564,[20-300],https://obis.org/taxon/276564
Cephalopholis_panamensis,[20-30],https://obis.org/taxon/279152,[25-40],https://obis.org/taxon/279152,[0-30],https://obis.org/taxon/279152
Pocillopora_damicornis,[-5-30],https://obis.org/taxon/206953,[25-40],https://obis.org/taxon/206953,[0-200],https://waterworlds.info/marine-species/cauliflower-coral-pocillopora-damicornis/
Arothron_meleagris,[15-30],https://obis.org/taxon/219926,[25-40],https://obis.org/taxon/219926,[0-170],https://obis.org/taxon/219926
Epinephelus_labriformis,[15-30],https://obis.org/taxon/273858,[25-40],https://obis.org/taxon/273858,[0-130],https://obis.org/taxon/273858
Penaeus_brevirostris,[15-27],https://www.sealifebase.se/country/CountrySpeciesSummary.php?id=14597&c_code=218,[25-35],https://obis.org/taxon/584943,[10-450],https://www.nature.com/articles/s41598-024-71029-7
Sufflamen_verres,[-5-30],https://obis.org/taxon/276853,[25-35],https://obis.org/taxon/276853,[0-500],https://obis.org/taxon/276853
Stegastes_acapulcoensis,[15-20],https://obis.org/taxon/276658,[25-35],https://obis.org/taxon/276658,[0-30],https://obis.org/taxon/276658
Lepidochelys_olivacea,[5-30],https://obis.org/taxon/220293,[15-40],https://obis.org/taxon/220293,[0-544],https://www.int-res.com/articles/meps2006/323/m323p253.pdf
Abudefduf_troschelii,[20-30],https://obis.org/taxon/273702,[25-40],https://obis.org/taxon/273702,[0-90],https://obis.org/taxon/273702
Anadara_tuberculosa,[15-30],https://obis.org/taxon/504313,[25-35],https://obis.org/taxon/504313,[0-10],https://obis.org/taxon/504313
Holacanthus_passer,[15-30],https://obis.org/taxon/276016,[25-40],https://obis.org/taxon/276016,[0-90],https://obis.org/taxon/276016
Pocillopora_capitata,[20-30],https://obis.org/taxon/289246,[25-40],https://obis.org/taxon/289246,[0-70],https://obis.org/taxon/289246
Johnrandallia_nigrirostris,[15-30],https://obis.org/taxon/281202,[25-40],https://obis.org/taxon/281202,[0-70],https://obis.org/taxon/281202
Chelonia_mydas,[-5-30],https://obis.org/taxon/137206,[20-40],https://obis.org/taxon/137206,[0-300],https://obis.org/taxon/137206
Sphyrna_tiburo,[15-30],https://obis.org/taxon/158517,[15-40],https://obis.org/taxon/158517,[0-110],https://obis.org/taxon/158517
Scarus_ghobban,[15-30],https://obis.org/taxon/219127,[20-40],https://obis.org/taxon/219127,[0-170],https://obis.org/taxon/219127
Chaetodon_humeralis,[-5-30],https://obis.org/taxon/273343,[25-40],https://obis.org/taxon/273343,[0-300],https://obis.org/taxon/273343
Haemulon_maculicauda,[20-30],https://obis.org/taxon/275729,[25-40],https://obis.org/taxon/275729,[0-70],https://obis.org/taxon/275729
Acanthurus_xanthopterus,[15-30],https://obis.org/taxon/219634,[25-40],https://obis.org/taxon/219634,[0-170],https://obis.org/taxon/219634
Lutjanus_viridis,[15-30],https://obis.org/taxon/276552,[25-35],https://obis.org/taxon/276552,[0-500],https://obis.org/taxon/276552
Myripristis_leiognathus,[10-30],https://obis.org/taxon/276199,[25-40],https://obis.org/taxon/276199,[0-2000],https://obis.org/taxon/276199
Cirrhitichthys_oxycephalus,[15-30],https://obis.org/taxon/218853,[25-40],https://obis.org/taxon/218853,[0-110],https://obis.org/taxon/218853
Ophioblennius_steindachneri,[15-20],https://obis.org/taxon/273126,[25-40],https://obis.org/taxon/273126,[0-330],https://obis.org/taxon/273126
Canthigaster_punctatissima,[20-30],https://obis.org/taxon/275264,[25-40],https://obis.org/taxon/275264,[0-300],https://obis.org/taxon/275264
Pomadasys_panamensis,[20-30],https://obis.org/taxon/273509,[25-40],https://obis.org/taxon/273509,[0-70],https://obis.org/taxon/273509
Mulloidichthys_dentatus,[20-30],https://obis.org/taxon/277990,[25-40],https://obis.org/taxon/277990,[0-70],https://obis.org/taxon/277990
Pseudobalistes_naufragium,[20-30],https://obis.org/taxon/279161,[25-40],https://obis.org/taxon/279161,[0-70],https://obis.org/taxon/279161
Sargocentron_suborbitale,[20-30],https://obis.org/taxon/1021098,[25-40],https://obis.org/taxon/1021098,[0-3000],https://obis.org/taxon/1021098
Pavona_clavus,[-5-30],https://obis.org/taxon/207318,[25-40],https://obis.org/taxon/207318,[0-70],https://obis.org/taxon/207318
Diadema_mexicanum,[20-30],https://obis.org/taxon/513223,[25-35],https://obis.org/taxon/513223,[0-700],https://obis.org/taxon/513223
Hemicaranx_leucurus,[20-30],https://obis.org/taxon/276353,[25-35],https://obis.org/taxon/276353,[0-70],https://obis.org/taxon/276353
Brotula_clarkae,[-5-30],https://obis.org/taxon/275888,[25-35],https://obis.org/taxon/275888,[0-400],https://obis.org/taxon/275888
Acanthurus_triostegus,[15-30],https://obis.org/taxon/219630,[25-40],https://obis.org/taxon/219630,[0-170],https://obis.org/taxon/219630
Paranthias_colonus,[15-30],https://obis.org/taxon/282083,[25-40],https://obis.org/taxon/282083,[0-70],https://obis.org/taxon/282083
Chromis_atrilobata,[15-30],https://obis.org/taxon/273712,[25-40],https://obis.org/taxon/273712,[0-30],https://obis.org/taxon/273712
Arothron_hispidus,[10-30],https://obis.org/taxon/219925,[25-45],https://obis.org/taxon/219925,[0-500],https://obis.org/taxon/219925
Pavona_gigantea,[20-30],https://obis.org/taxon/289201,[25-40],https://obis.org/taxon/289201,[0-50],https://obis.org/taxon/289201
Litopenaeus_occidentalis,[21.3-28.6],https://www.sealifebase.se/summary/Penaeus-occidentalis.html,[25-35],https://obis.org/taxon/377456,[2-160],https://www.sealifebase.se/summary/Penaeus-occidentalis.html
Bodianus_diplotaenia,[15-20],https://obis.org/taxon/273527,[25-40],https://obis.org/taxon/273527,[0-60],https://obis.org/taxon/273527
Scarus_rubroviolaceus,[20-30],https://obis.org/taxon/219124,[25-40],https://obis.org/taxon/219124,[0-400],https://obis.org/taxon/219124
Fistularia_commersonii,[10-30],https://obis.org/taxon/217966,[25-40],https://obis.org/taxon/217966,[0-300],https://obis.org/taxon/217966
Coryphopterus_urospilus,[15-30],https://obis.org/taxon/276435,[25-40],https://obis.org/taxon/276435,[0-30},https://obis.org/taxon/276435
Stellifer_ericymba,[20-30],https://obis.org/taxon/276156,[25-35],https://obis.org/taxon/276156,[0-400],https://obis.org/taxon/276156
Plagiotremus_azaleus,[15-30],https://obis.org/taxon/278234,[25-35],https://obis.org/taxon/278234,[0-30],https://obis.org/taxon/278234
Cynoscion_spp.,[-5-30],https://obis.org/taxon/159304,[0-40],https://obis.org/taxon/159304,[0-300],https://obis.org/taxon/159304
Zanclus_cornutus,[15-30],https://obis.org/taxon/220083,[25-40],https://obis.org/taxon/220083,[0-400],https://obis.org/taxon/220083
Mugil_cephalus,[5-30],https://obis.org/taxon/126983,[10-40],https://obis.org/taxon/126983,[0-300],https://obis.org/taxon/126983
Myrichthys_tigrinus,[15-30],https://obis.org/taxon/275489,[30-40],https://obis.org/taxon/275489,[0-90],https://obis.org/taxon/275489
Lutjanus_novemfasciatus,[20-30],https://obis.org/taxon/276544,[25-40],https://obis.org/taxon/276544,[0-120],https://obis.org/taxon/276544
Lutjanus_inermis,[20-30],https://obis.org/taxon/276540,[25-35],https://obis.org/taxon/276540,[0-30],https://obis.org/taxon/276540
Hirsutodynomene_ursula,[20-30],https://obis.org/taxon/440135,[25-35],https://obis.org/taxon/440135,[0-170],https://obis.org/taxon/440135
Cyclopsetta_panamensis,[10-30],https://obis.org/taxon/275702,[25-35],https://obis.org/taxon/275702,[0-70],https://obis.org/taxon/275702
Stegastes_flavilatus,[20-30],https://obis.org/taxon/276668,[25-35],https://obis.org/taxon/276668,[0-30],https://obis.org/taxon/276668
Haemulopsis_leuciscus,[16-30},https://obis.org/taxon/280975,[25-35],https://obis.org/taxon/280975,[0-110],https://obis.org/taxon/280975
Conus_nux,[5-30],https://obis.org/taxon/428223,[25-40],https://obis.org/taxon/428223,[0-60],https://obis.org/taxon/428223
Lutjanus_guttatus,[15-30],https://obis.org/taxon/276539,[25-40],https://obis.org/taxon/276539,[0-170],https://obis.org/taxon/276539
Serranus_psittacinus,[-5-30],https://obis.org/taxon/273904,[25-40],https://obis.org/taxon/273904,[0-170],https://obis.org/taxon/273904
